분야필터,기관명,대표자명,상세보기소재지,도/시,시/군/구,전화,팩스,비고,유효기간
축산물,동해안해양생물자원연구센터,변희국,"강원도 강릉시 죽헌길 7, 강릉원주대학교 공동실험실습관 401호, 407~410호",강원도,강릉시,033-640-2238,033-643-3832,,27.10.25
식품,동해안해양생물자원연구센터,변희국,강원도 강릉시 죽헌길 7(지변동) 강릉원주대학교 공동실험실습관 4층,강원도,강릉시,033-640-2730,033-643-3832,,27.10.25
기구 및 용기·포장,(사)KOTITI 시험연구원,김준,경기도 과천시 과천대로 7나길 48 (갈현동),경기도,과천시,02-3451-7446,02-3451-7464,,28.3.5
건강기능식품,(사)KOTITI 시험연구원,김준,경기도 과천시 과천대로7나길 48 (갈현동),경기도,과천시,02-3451-7364,02-3451-7147,,24.10.6
식품,(사)KOTITI 시험연구원,김준,경기도 과천시 과천대로7나길 48 (갈현동),경기도,과천시,02-3451-7364,02-3451-7147,,24.10.6
식품첨가물,(사)KOTITI 시험연구원,김준,경기도 과천시 과천대로7나길 48 (갈현동),경기도,과천시,02-3451-7364,02-3451-7147,,24.10.6
축산물,(사)KOTITI 시험연구원,김준,경기도 과천시 과천대로7나길 48 (갈현동),경기도,과천시,02-3451-7000,02-3451-7464,,24.10.4
위생용품,(사)KOTITI시험연구원,김준,경기도 과천시 과천대로7나길 48(갈현동) 4층,경기도,과천시,02-3451-7446 ,031-493-1959,「위생용품 관리법」제10조에 따른 기준 및 규격에 따른 품목,2028.4.18.
위생용품,(재)한국화학융합시험연구원,김현철,경기도 과천시 교육원로 98(중앙동),경기도,과천시,02-2164-0011,02-2634-1008,"세척제, 헹굼보조제, 화장지, 일회용 행주·종이냅킨, 식품접객업소용 물티슈, 일회용 이쑤시개·면봉·기저귀·일회용 팬티라이너, 물티슈용 마른 티슈(11품목) ",2028.4.18.
식품,한국인터텍테스팅서비스 군포시험연구소,김주용,"경기도 군포시 공단로160번길 3, 6층, 7층(당정동, 인터텍빌딩)",경기도,군포시,02-6090-9521,02-3409-0505,,24.9.28
축산물,한국인터텍테스팅서비스 군포시험연구소,김주용,"경기도 군포시 공단로160번길 3, 6층, 7층(당정동, 인터텍빌딩))",경기도,군포시,02-6090-9521,02-3409-0505,,25.12.11
건강기능식품,㈜한국유로핀즈분석서비스,정명호,경기도 군포시 산본로 101번길 13,경기도,군포시,031-361-7777,031-361-7799,,28.2.25
기구 및 용기·포장,㈜한국유로핀즈분석서비스,정명호,경기도 군포시 산본로 101번길 13,경기도,군포시,031-361-7777,031-361-7799,,28.2.25
식품,㈜한국유로핀즈분석서비스,정명호,경기도 군포시 산본로 101번길 13,경기도,군포시,031-361-7777,031-361-7799,,28.2.25
식품,(주)한국유로핀즈분석서비스,정명호,경기도 군포시 산본로 101번길 13,경기도,군포시,031-361-7777,031-361-7798,,28.4.25
식품첨가물,㈜한국유로핀즈분석서비스,정명호,경기도 군포시 산본로 101번길 13,경기도,군포시,031-361-7777,031-361-7799,,28.2.25
축산물,㈜한국유로핀즈분석서비스,정명호,경기도 군포시 산본로 101번길 13,경기도,군포시,031-361-7777,031-361-7799,,27.12.17
기구 및 용기·포장,(재)한국기계전기전자시험연구원,안성일,경기도 군포시 엘에스로 115번길 74,경기도,군포시,031-455-7365,031-428-3857,,25.5.29
축산물,㈜한국바이오분석연구원,박춘식,"경기도 군포시 엘에스로 163(산본동, 중산빌딩) 6층",경기도,군포시,031-602-9000,031-604-9001,,27.9.7
위생용품,(재)한국기계전기전자시험연구원,안성일,경기도 군포시 엘에스로115번길 74,경기도,군포시,031-428-3862,070-7811-9147,「위생용품 관리법」제10조(기준 및 규격)에 따른 품목,2026.5.30.
식품,(주)한국바이오분석연구원,박춘식,"경기도 군포시 엘에스로로 163, 중산빌딩 6층",경기도,군포시,031-602-9000,031-604-9001,,25.10.10
건강기능식품,중앙생명연구원(주),박명희,경기도 남양주시 별내면 청학로 54번길 50,경기도,남양주시,031-844-1720,031-844-0854,,25.4.27
식품,중앙생명연구원(주),박명희,경기도 남양주시 별내면 청학로 54번길 50,경기도,남양주시,031-844-1720,031-844-0854,,25.4.27
축산물,중앙생명연구원(주),박명희,경기도 남양주시 별내면 청학로 54번길 50,경기도,남양주시,031-844-1720,031-844-0854,,25.4.27
건강기능식품,(사)한국건강기능식품협회 부설 한국기능식품연구원,정명수,"경기도 성남시 분당구 대왕판교로 700번지 코리아바이오파크 B동 A-B03호, B101∼102호, B301∼302호",경기도,성남시,031-628-2400,031-628-0400,,25.8.6
기구 및 용기·포장,(사)한국건강기능식품협회 부설 한국기능식품연구원,정명수,"경기도 성남시 분당구 대왕판교로 700번지 코리아바이오파크 B동 A-B03호, B101∼102호, B301∼302호",경기도,성남시,031-628-2400,031-628-0400,,25.8.6
식품,(사)한국건강기능식품협회 부설 한국기능식품연구원,정명수,"경기도 성남시 분당구 대왕판교로 700번지 코리아바이오파크 B동 A-B03호, B101∼102호, B301∼302호",경기도,성남시,031-628-2400,031-628-0400,,25.8.6
식품첨가물,(사)한국건강기능식품협회 부설 한국기능식품연구원,정명수,"경기도 성남시 분당구 대왕판교로 700번지 코리아바이오파크 B동 A-B03호, B101∼102호, B301∼302호",경기도,성남시,031-628-2400,031-628-0400,,25.8.6
위생용품,(사)한국건강기능식품협회 부설 한국기능식품연구원,정명수,"경기도 성남시 분당구 대왕판교로 700번지 코리아바이오파크 B동 A-B03호, B101∼102호, B301∼302호",경기도,성남시,031-628-2400,031-628-0400,「위생용품 관리법」제10조에 따른 기준 및 규격에 따른 품목(일회용 기저귀 제외),2028.5.2.
축산물,(사)한국건강기능식품협회 부설 한국기능식품연구원,정명수,"경기도 성남시 분당구 대왕판교로 700번지 코리아바이오파크 B동 A-B03호, B101∼102호, B301∼302호",경기도,성남시,031-628-2400,031-628-0400,,24.7.6
식품,씨제이제일제당㈜분석팀,"손경식, 최은석","경기도 수원시 영통구 광교로 42번길 55 3층, 4층 일부",경기도,수원시,031-8099-2459,031-8099-2918,,24.11.23
