순번,법령MST,소관부처코드,소관부처명,법령ID,법령명,공포일자,공포번호,시행일자,법령구분코드,법령구분명,법령분야코드,법령분야명
1494,266257,1352000,보건복지부,6940,노인복지법 시행규칙,20241101,제1069호,20241101,A0050,보건복지부령,38050000,第5章 兒童·老人·障碍者·母子福祉
1497,266255,1352000,보건복지부,14768,노인 일자리 및 사회활동 지원에 관한 법률 시행규칙,20241101,제1069호,20241101,A0050,보건복지부령,38050000,第5章 兒童·老人·障碍者·母子福祉
2426,266259,1250000,통일부,7303,북한이탈주민의 보호 및 정착지원에 관한 법률 시행규칙,20241101,제133호,20241101,A0070,통일부령,1020100,第1節 國土·統一
2949,266261,1192000,해양수산부,7545,수산관계법령 위반행위에 대한 행정처분의 기준과 절차에 관한 규칙,20241101,제699호,20241101,A0071,해양수산부령,27030000,第3章 水産業
4245,266247,1421000,중소벤처기업부,12958,중소벤처기업부 소관 비영리법인의 설립 및 감독에 관한 규칙,20241101,제95호,20241101,A0105,중소벤처기업부령,28010000,第1章 行政組織·通則
5377,266213,1480000,환경부,10545,환경분야 시험ㆍ검사 등에 관한 법률 시행규칙,20241101,제1126호,20241101,A0074,환경부령,39020000,第2章 環境保全
152,266195,1051000,기획재정부,5308,개별소비세법 시행령,20241031,제34976호,20241101,A0007,대통령령,20040000,第4章 間接稅
749,266185,1051000,기획재정부,2619,교통ㆍ에너지ㆍ환경세법 시행령,20241031,제34977호,20241101,A0007,대통령령,20040000,第4章 間接稅
1493,266189,1352000,보건복지부,3174,노인복지법 시행령,20241031,제34978호,20241101,A0007,대통령령,38050000,第5章 兒童·老人·障碍者·母子福祉
1496,266187,1352000,보건복지부,14765,노인 일자리 및 사회활동 지원에 관한 법률 시행령,20241031,제34978호,20241101,A0007,대통령령,38050000,第5章 兒童·老人·障碍者·母子福祉
1510,266191,1352000,보건복지부,12411,노후준비 지원법 시행령,20241031,제34978호,20241101,A0007,대통령령,38050000,第5章 兒童·老人·障碍者·母子福祉
1817,266243,1450000,산업통상자원부,7095,도시가스사업법 시행규칙,20241031,제578호,20241031,A0102,산업통상자원부령,32030000,第3章 가 스
2525,266193,1352000,보건복지부,3754,사회보장기본법 시행령,20241031,제34978호,20241101,A0007,대통령령,38020000,第2章 社會福祉通則
3133,266245,1430000,특허청,7656,실용신안법 시행규칙,20241031,제580호,20241101,A0102,산업통상자원부령,30020000,第2章 特許·實用新案
3468,266209,1079960,원자력안전위원회,11880,원자력안전법 시행규칙,20241031,제1990호,20241101,A0009,총리령,18030000,第3章 原子力
3751,266211,1480000,환경부,7951,자연환경보전법 시행규칙,20241031,제1127호,20241031,A0074,환경부령,39020000,第2章 環境保全
4756,266241,1430000,특허청,8561,특허법 시행규칙,20241031,제579호,20241101,A0102,산업통상자원부령,30020000,第2章 特許·實用新案
782,266183,1492000,고용노동부,11273,국가기술자격법 시행규칙,20241030,제427호,20241030,A0097,고용노동부령,40060000,第6章 職業訓練
328,266123,1320000 1741000,"경찰청,행정안전부",2215,경찰청과 그 소속기관 직제,20241029,제34970호,20241029,A0007,대통령령,11010000,第1章 行政組織·通則
329,266177,1320000,경찰청,6255,경찰청과 그 소속기관 직제 시행규칙,20241029,제521호,20241029,A0107,행정안전부령,11010000,第1章 行政組織·通則
1041,266143,1741000,행정안전부,2883,국새규정,20241029,제34967호,20241029,A0007,대통령령,1020200,第2節 國號·國旗·年號등
1200,266141,1290000,국방부,2974,군무원인사법 시행령,20241029,제34967호,20241029,A0007,대통령령,13020200,第2節 軍務員人事
1252,266145,1290000,국방부,3010,군위탁생규정,20241029,제34968호,20241029,A0007,대통령령,13020104,第4款 服務·敎育訓練
1256,266179,1290000,국방부,6829,군인 등의 특수근무수당에 관한 규칙,20241029,제1161호,20241029,A0033,국방부령,13020103,第3款 報酬·手當·諸給與
2014,266125,1833100,국가유산청,3506,문화유산의 보존 및 활용에 관한 법률 시행령,20241029,제34971호,20241101,A0007,대통령령,17030000,第3章 文化財
2065,266111,1613000,국토교통부,4552,민간임대주택에 관한 특별법 시행령,20241029,제34973호,20241029,A0007,대통령령,34020000,第2章 住 宅
2066,266163,1613000,국토교통부,7899,민간임대주택에 관한 특별법 시행규칙,20241029,제1398호,20241029,A0103,국토교통부령,34020000,第2章 住 宅
2094,266121,1741000,행정안전부,3540,민원 처리에 관한 법률 시행령,20241029,제34969호,20241029,A0007,대통령령,4020000,第2章 行政作用一般
3215,266115,1721000,과학기술정보통신부,14760,양자과학기술 및 양자산업 육성에 관한 법률 시행령,20241029,제34964호,20241101,A0007,대통령령,18020000,第2章 科學技術振興
3216,266159,1721000,과학기술정보통신부,14764,양자과학기술 및 양자산업 육성에 관한 법률 시행규칙,20241029,제136호,20241101,A0106,과학기술정보통신부령,18020000,第2章 科學技術振興
3467,266113,1079960,원자력안전위원회,11484,원자력안전법 시행령,20241029,제34975호,20241101,A0007,대통령령,18030000,第3章 原子力
