업종,핵심키워드,질문
공통,부적합,자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?
,부적합조치,자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?
,부적합항목,자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?
,지정항목외,자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?
,추가검사,자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?
,회수,자가품질검사 외 추가 검사에서 부적합이 발견된 경우 어떤 조치를 취해야 하나요?
식품업,개별검사,"식품첨가물 혼합제제가 동일한 검사항목일 경우, 대표 품목만 검사 가능한가요?"
,검사기록,"자가품질검사를 일부 위탁하고 일부를 자체적으로 수행할 때, 모든 검사 결과를 LIMS에 기록해야 하나요?"
,,자체 기록관리 시스템을 도입한 후 LIMS 관리 방법은 어떻게 되나요?
,검사미실시,"절임류(단무지)를 업체에서 자가품질검사 전항목 미실시로 적발된 경우(동일한 검사항목을 적용받는 품목) 전체 품목을 정지해야 하나요, 아니면 대표 품목만 정지해야 하나요?"
,관리방법,자체 기록관리 시스템을 도입한 후 LIMS 관리 방법은 어떻게 되나요?
,기록관리시스템,자체 기록관리 시스템을 도입한 후 LIMS 관리 방법은 어떻게 되나요?
,다른제조업체,"다른 제조업체에서 제조가공한 제품을 소분하여 포장하는 소분업의 경우 소분한 제품에
대하여 자가품질검사를 하여야 하는지? "
,단무지,"절임류(단무지)를 업체에서 자가품질검사 전항목 미실시로 적발된 경우(동일한 검사항목을 적용받는 품목) 전체 품목을 정지해야 하나요, 아니면 대표 품목만 정지해야 하나요?"
,대표품목,"절임류(단무지)를 업체에서 자가품질검사 전항목 미실시로 적발된 경우(동일한 검사항목을 적용받는 품목) 전체 품목을 정지해야 하나요, 아니면 대표 품목만 정지해야 하나요?"
,데히드로초산나트륨,식품등의 자가품질 검사항목 지정'에서 언급된 보존료는 어떤 것을 말하나요?
,동일검사,"동일한 검사항목을 가진, 제품명과 원재료명이 다른 수입식품 A와 B의 자가품질검사 방법은 어떻게 되나요?"
,,"식품첨가물 혼합제제가 동일한 검사항목일 경우, 대표 품목만 검사 가능한가요?"
,동일유형,"동일한 검사항목을 가진, 제품명과 원재료명이 다른 수입식품 A와 B의 자가품질검사 방법은 어떻게 되나요?"
,동일제품,"즉석판매제조가공업을 위해 다른 두 장소에서 한시적으로 영업신고 후 동일한 제품을 제조 및 판매할 경우, 자가품질검사는 필요한가요?"
